,Unnamed: 0,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Year,Month,Day
0,949,165,3.0,2013-01-01,0,0,0,0.0,a,1.0,2013,1,1
1,2064,165,4.0,2013-01-02,3349,415,1,0.0,0,1.0,2013,1,2
2,3179,165,5.0,2013-01-03,2816,340,1,0.0,0,1.0,2013,1,3
3,4294,165,6.0,2013-01-04,3551,411,1,0.0,0,0.0,2013,1,4
4,5409,165,7.0,2013-01-05,1979,243,1,0.0,0,0.0,2013,1,5
5,6524,165,1.0,2013-01-06,0,0,0,1.0,a,0.0,2013,1,6
6,7639,165,2.0,2013-01-07,5817,560,1,1.0,0,0.0,2013,1,7
7,8754,165,3.0,2013-01-08,5243,507,1,1.0,0,0.0,2013,1,8
8,9869,165,4.0,2013-01-09,4431,463,1,1.0,0,0.0,2013,1,9
9,10984,165,5.0,2013-01-10,3750,414,1,1.0,0,0.0,2013,1,10
10,12099,165,6.0,2013-01-11,4285,458,1,0.0,0,0.0,2013,1,11
11,13214,165,7.0,2013-01-12,2518,244,1,0.0,0,0.0,2013,1,12
12,14329,165,1.0,2013-01-13,0,0,0,0.0,0,0.0,2013,1,13
13,15444,165,2.0,2013-01-14,3345,401,1,0.0,0,0.0,2013,1,14
14,16559,165,3.0,2013-01-15,3126,363,1,0.0,0,0.0,2013,1,15
15,17674,165,4.0,2013-01-16,3186,377,1,0.0,0,0.0,2013,1,16
16,18789,165,5.0,2013-01-17,2429,301,1,0.0,0,0.0,2013,1,17
17,19904,165,6.0,2013-01-18,3218,380,1,0.0,0,0.0,2013,1,18
18,21019,165,7.0,2013-01-19,2642,279,1,0.0,0,0.0,2013,1,19
19,22134,165,1.0,2013-01-20,0,0,0,1.0,0,0.0,2013,1,20
20,23249,165,2.0,2013-01-21,5081,462,1,1.0,0,0.0,2013,1,21
21,24364,165,3.0,2013-01-22,4824,474,1,1.0,0,0.0,2013,1,22
22,25479,165,4.0,2013-01-23,4416,494,1,1.0,0,0.0,2013,1,23
23,26594,165,5.0,2013-01-24,3890,406,1,1.0,0,0.0,2013,1,24
24,27709,165,6.0,2013-01-25,4343,430,1,0.0,0,0.0,2013,1,25
