,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Year,Month,Day,Lagged_Open
1112,2,2,2013-01-01,0,0,0,0,a,1,2013,1,1,0
2227,2,3,2013-01-02,4422,650,1,0,0,1,2013,1,2,1
3342,2,4,2013-01-03,4159,555,1,0,0,1,2013,1,3,0
4457,2,5,2013-01-04,4484,574,1,0,0,1,2013,1,4,0
5572,2,6,2013-01-05,2342,324,1,0,0,0,2013,1,5,0
6687,2,7,2013-01-06,0,0,0,0,0,0,2013,1,6,0
7802,2,1,2013-01-07,6775,763,1,1,0,0,2013,1,7,1
8917,2,2,2013-01-08,6318,685,1,1,0,0,2013,1,8,0
10032,2,3,2013-01-09,6763,785,1,1,0,0,2013,1,9,0
11147,2,4,2013-01-10,5618,637,1,1,0,0,2013,1,10,0
12262,2,5,2013-01-11,4810,539,1,1,0,0,2013,1,11,0
13377,2,6,2013-01-12,2630,337,1,0,0,0,2013,1,12,0
14492,2,7,2013-01-13,0,0,0,0,0,0,2013,1,13,0
15607,2,1,2013-01-14,3995,530,1,0,0,0,2013,1,14,1
16722,2,2,2013-01-15,4075,513,1,0,0,0,2013,1,15,0
17837,2,3,2013-01-16,4198,591,1,0,0,0,2013,1,16,0
18952,2,4,2013-01-17,2973,403,1,0,0,0,2013,1,17,0
20067,2,5,2013-01-18,3441,434,1,0,0,0,2013,1,18,0
21182,2,6,2013-01-19,2399,303,1,0,0,0,2013,1,19,0
22297,2,7,2013-01-20,0,0,0,0,0,0,2013,1,20,0
23412,2,1,2013-01-21,6311,662,1,1,0,0,2013,1,21,1
24527,2,2,2013-01-22,5803,656,1,1,0,0,2013,1,22,0
25642,2,3,2013-01-23,5974,690,1,1,0,0,2013,1,23,0
26757,2,4,2013-01-24,5091,582,1,1,0,0,2013,1,24,0
27872,2,5,2013-01-25,4589,522,1,1,0,0,2013,1,25,0
28987,2,6,2013-01-26,2205,303,1,0,0,0,2013,1,26,0
30102,2,7,2013-01-27,0,0,0,0,0,0,2013,1,27,0
31217,2,1,2013-01-28,3549,488,1,0,0,0,2013,1,28,1
32332,2,2,2013-01-29,3461,476,1,0,0,0,2013,1,29,0
33447,2,3,2013-01-30,4446,608,1,0,0,0,2013,1,30,0
34562,2,4,2013-01-31,4340,517,1,0,0,0,2013,1,31,0
35677,2,5,2013-02-01,4545,554,1,0,0,0,2013,2,1,0
36792,2,6,2013-02-02,2956,361,1,0,0,0,2013,2,2,0
37907,2,7,2013-02-03,0,0,0,0,0,0,2013,2,3,0
39022,2,1,2013-02-04,6480,688,1,1,0,0,2013,2,4,1
40137,2,2,2013-02-05,6269,674,1,1,0,0,2013,2,5,0
41252,2,3,2013-02-06,6438,769,1,1,0,0,2013,2,6,0
42367,2,4,2013-02-07,5575,638,1,1,0,0,2013,2,7,0
43482,2,5,2013-02-08,4203,491,1,1,0,0,2013,2,8,0
44597,2,6,2013-02-09,3031,354,1,0,0,0,2013,2,9,0
45712,2,7,2013-02-10,0,0,0,0,0,0,2013,2,10,0
46827,2,1,2013-02-11,4303,582,1,0,0,0,2013,2,11,1
47942,2,2,2013-02-12,3968,504,1,0,0,0,2013,2,12,0
49057,2,3,2013-02-13,5001,678,1,0,0,0,2013,2,13,0
50172,2,4,2013-02-14,4439,574,1,0,0,0,2013,2,14,0
51287,2,5,2013-02-15,3812,494,1,0,0,0,2013,2,15,0
52402,2,6,2013-02-16,2401,290,1,0,0,0,2013,2,16,0
53517,2,7,2013-02-17,0,0,0,0,0,0,2013,2,17,0
54632,2,1,2013-02-18,7493,757,1,1,0,1,2013,2,18,1
55747,2,2,2013-02-19,5734,588,1,1,0,1,2013,2,19,0
56862,2,3,2013-02-20,6116,689,1,1,0,1,2013,2,20,0
57977,2,4,2013-02-21,5276,589,1,1,0,1,2013,2,21,0
59092,2,5,2013-02-22,4552,509,1,1,0,1,2013,2,22,0
60207,2,6,2013-02-23,1919,230,1,0,0,0,2013,2,23,0
61322,2,7,2013-02-24,0,0,0,0,0,0,2013,2,24,0
62437,2,1,2013-02-25,3084,432,1,0,0,0,2013,2,25,1
63552,2,2,2013-02-26,3919,480,1,0,0,0,2013,2,26,0
64667,2,3,2013-02-27,4741,635,1,0,0,0,2013,2,27,0
65782,2,4,2013-02-28,4859,565,1,0,0,0,2013,2,28,0
66897,2,5,2013-03-01,4290,555,1,0,0,0,2013,3,1,0
68012,2,6,2013-03-02,2643,353,1,0,0,0,2013,3,2,0
69127,2,7,2013-03-03,0,0,0,0,0,0,2013,3,3,0
70242,2,1,2013-03-04,7993,790,1,1,0,0,2013,3,4,1
71357,2,2,2013-03-05,6357,660,1,1,0,0,2013,3,5,0
72472,2,3,2013-03-06,6842,806,1,1,0,0,2013,3,6,0
73587,2,4,2013-03-07,5747,640,1,1,0,0,2013,3,7,0
