,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
365,749,2,2013-01-01,0,0,0,0,a,1
1480,749,3,2013-01-02,5350,681,1,0,0,1
2595,749,4,2013-01-03,4967,614,1,0,0,1
3710,749,5,2013-01-04,5626,737,1,0,0,1
4825,749,6,2013-01-05,2177,277,1,0,0,0
5940,749,7,2013-01-06,0,0,0,0,0,0
7055,749,1,2013-01-07,10315,1024,1,1,0,0
8170,749,2,2013-01-08,7187,799,1,1,0,0
9285,749,3,2013-01-09,5953,721,1,1,0,0
10400,749,4,2013-01-10,5795,712,1,1,0,0
11515,749,5,2013-01-11,6155,802,1,1,0,0
12630,749,6,2013-01-12,1978,260,1,0,0,0
13745,749,7,2013-01-13,0,0,0,0,0,0
14860,749,1,2013-01-14,4565,655,1,0,0,0
15975,749,2,2013-01-15,4535,650,1,0,0,0
17090,749,3,2013-01-16,4373,582,1,0,0,0
18205,749,4,2013-01-17,3966,542,1,0,0,0
19320,749,5,2013-01-18,4706,633,1,0,0,0
20435,749,6,2013-01-19,2112,274,1,0,0,0
21550,749,7,2013-01-20,0,0,0,0,0,0
22665,749,1,2013-01-21,7633,806,1,1,0,0
23780,749,2,2013-01-22,7064,790,1,1,0,0
24895,749,3,2013-01-23,6064,716,1,1,0,0
26010,749,4,2013-01-24,5778,664,1,1,0,0
27125,749,5,2013-01-25,6005,748,1,1,0,0
28240,749,6,2013-01-26,2289,303,1,0,0,0
29355,749,7,2013-01-27,0,0,0,0,0,0
30470,749,1,2013-01-28,4957,717,1,0,0,0
31585,749,2,2013-01-29,3840,539,1,0,0,0
32700,749,3,2013-01-30,4398,595,1,0,0,0
33815,749,4,2013-01-31,5267,691,1,0,0,0
34930,749,5,2013-02-01,5416,694,1,0,0,0
36045,749,6,2013-02-02,2737,320,1,0,0,0
37160,749,7,2013-02-03,0,0,0,0,0,0
38275,749,1,2013-02-04,9368,1016,1,1,0,0
39390,749,2,2013-02-05,6713,773,1,1,0,0
40505,749,3,2013-02-06,5969,705,1,1,0,0
41620,749,4,2013-02-07,6171,772,1,1,0,0
42735,749,5,2013-02-08,5718,735,1,1,0,0
43850,749,6,2013-02-09,2250,282,1,0,0,0
44965,749,7,2013-02-10,0,0,0,0,0,0
46080,749,1,2013-02-11,4798,646,1,0,0,0
