,Unnamed: 0,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Year,Month,Day
0,365,749,,2013-01-01,0,0,0,,a,,2013,1,1
1,1480,749,2.0,2013-01-02,5350,681,1,0.0,0,1.0,2013,1,2
2,2595,749,3.0,2013-01-03,4967,614,1,0.0,0,1.0,2013,1,3
3,3710,749,4.0,2013-01-04,5626,737,1,0.0,0,1.0,2013,1,4
4,4825,749,5.0,2013-01-05,2177,277,1,0.0,0,1.0,2013,1,5
5,5940,749,6.0,2013-01-06,0,0,0,0.0,0,0.0,2013,1,6
6,7055,749,7.0,2013-01-07,10315,1024,1,0.0,0,0.0,2013,1,7
7,8170,749,1.0,2013-01-08,7187,799,1,1.0,0,0.0,2013,1,8
8,9285,749,2.0,2013-01-09,5953,721,1,1.0,0,0.0,2013,1,9
9,10400,749,3.0,2013-01-10,5795,712,1,1.0,0,0.0,2013,1,10
10,11515,749,4.0,2013-01-11,6155,802,1,1.0,0,0.0,2013,1,11
11,12630,749,5.0,2013-01-12,1978,260,1,1.0,0,0.0,2013,1,12
12,13745,749,6.0,2013-01-13,0,0,0,0.0,0,0.0,2013,1,13
13,14860,749,7.0,2013-01-14,4565,655,1,0.0,0,0.0,2013,1,14
14,15975,749,1.0,2013-01-15,4535,650,1,0.0,0,0.0,2013,1,15
15,17090,749,2.0,2013-01-16,4373,582,1,0.0,0,0.0,2013,1,16
16,18205,749,3.0,2013-01-17,3966,542,1,0.0,0,0.0,2013,1,17
17,19320,749,4.0,2013-01-18,4706,633,1,0.0,0,0.0,2013,1,18
18,20435,749,5.0,2013-01-19,2112,274,1,0.0,0,0.0,2013,1,19
19,21550,749,6.0,2013-01-20,0,0,0,0.0,0,0.0,2013,1,20
20,22665,749,7.0,2013-01-21,7633,806,1,0.0,0,0.0,2013,1,21
21,23780,749,1.0,2013-01-22,7064,790,1,1.0,0,0.0,2013,1,22
22,24895,749,2.0,2013-01-23,6064,716,1,1.0,0,0.0,2013,1,23
23,26010,749,3.0,2013-01-24,5778,664,1,1.0,0,0.0,2013,1,24
24,27125,749,4.0,2013-01-25,6005,748,1,1.0,0,0.0,2013,1,25
25,28240,749,5.0,2013-01-26,2289,303,1,1.0,0,0.0,2013,1,26
26,29355,749,6.0,2013-01-27,0,0,0,0.0,0,0.0,2013,1,27
27,30470,749,7.0,2013-01-28,4957,717,1,0.0,0,0.0,2013,1,28
28,31585,749,1.0,2013-01-29,3840,539,1,0.0,0,0.0,2013,1,29
29,32700,749,2.0,2013-01-30,4398,595,1,0.0,0,0.0,2013,1,30
30,33815,749,3.0,2013-01-31,5267,691,1,0.0,0,0.0,2013,1,31
31,34930,749,4.0,2013-02-01,5416,694,1,0.0,0,0.0,2013,2,1
32,36045,749,5.0,2013-02-02,2737,320,1,0.0,0,0.0,2013,2,2
33,37160,749,6.0,2013-02-03,0,0,0,0.0,0,0.0,2013,2,3
34,38275,749,7.0,2013-02-04,9368,1016,1,0.0,0,0.0,2013,2,4
35,39390,749,1.0,2013-02-05,6713,773,1,1.0,0,0.0,2013,2,5
36,40505,749,2.0,2013-02-06,5969,705,1,1.0,0,0.0,2013,2,6
37,41620,749,3.0,2013-02-07,6171,772,1,1.0,0,0.0,2013,2,7
38,42735,749,4.0,2013-02-08,5718,735,1,1.0,0,0.0,2013,2,8
39,43850,749,5.0,2013-02-09,2250,282,1,1.0,0,0.0,2013,2,9
40,44965,749,6.0,2013-02-10,0,0,0,0.0,0,0.0,2013,2,10
41,46080,749,7.0,2013-02-11,4798,646,1,0.0,0,0.0,2013,2,11
42,47195,749,1.0,2013-02-12,2340,290,1,0.0,0,0.0,2013,2,12
43,48310,749,2.0,2013-02-13,4848,694,1,0.0,0,0.0,2013,2,13
44,49425,749,3.0,2013-02-14,5329,707,1,0.0,0,0.0,2013,2,14
45,50540,749,4.0,2013-02-15,4706,626,1,0.0,0,0.0,2013,2,15
46,51655,749,5.0,2013-02-16,2416,309,1,0.0,0,0.0,2013,2,16
47,52770,749,6.0,2013-02-17,0,0,0,0.0,0,0.0,2013,2,17
48,53885,749,7.0,2013-02-18,9286,979,1,0.0,0,0.0,2013,2,18
49,55000,749,1.0,2013-02-19,5919,672,1,1.0,0,0.0,2013,2,19
50,56115,749,2.0,2013-02-20,6860,800,1,1.0,0,0.0,2013,2,20
51,57230,749,3.0,2013-02-21,5831,769,1,1.0,0,0.0,2013,2,21
52,58345,749,4.0,2013-02-22,5211,683,1,1.0,0,0.0,2013,2,22
53,59460,749,5.0,2013-02-23,2403,290,1,1.0,0,0.0,2013,2,23
54,60575,749,6.0,2013-02-24,0,0,0,0.0,0,0.0,2013,2,24
55,61690,749,7.0,2013-02-25,4070,622,1,0.0,0,0.0,2013,2,25
56,62805,749,1.0,2013-02-26,4330,647,1,0.0,0,0.0,2013,2,26
57,63920,749,2.0,2013-02-27,4209,587,1,0.0,0,0.0,2013,2,27
58,65035,749,3.0,2013-02-28,5176,677,1,0.0,0,0.0,2013,2,28
59,66150,749,4.0,2013-03-01,6154,777,1,0.0,0,0.0,2013,3,1
60,67265,749,5.0,2013-03-02,3015,343,1,0.0,0,0.0,2013,3,2
